model,date,mean_alpha,mean_abs_alpha,std_alpha,frac_sig_5pct,mean_t_alpha,se_mean_alpha,ci_low,ci_high
Carhart,1945-01-01,-0.00036516874792395245,0.0022919794305363075,0.0038293752357932754,0.08,0.14548952008619853,0.0007658750471586551,-0.0018662838403549163,0.0011359463445070113
Carhart,1945-02-01,-0.0004372120177480219,0.002351409929245993,0.0037502410074792616,0.08,0.10628558800816337,0.0007500482014958524,-0.0019073064926798926,0.0010328824571838487
Carhart,1945-03-01,-0.0004636623766227901,0.00239345769737345,0.0037985023155544936,0.04,0.10669780937756737,0.0007597004631108987,-0.0019526752843201515,0.0010253505310745712
Carhart,1945-04-01,-0.0004573299063591565,0.0024796376347412763,0.00417998181241774,0.08,0.12950477439298136,0.000835996362483548,-0.002095882776826911,0.0011812229641085976
Carhart,1945-05-01,-0.0003905358406830539,0.002516871761503319,0.004056779566320827,0.08,0.16775666477706808,0.0008113559132641654,-0.001980793430680818,0.00119972174931471
Carhart,1945-06-01,-0.000387558129542818,0.002420756515265224,0.0039421162900277916,0.08,0.1461924344469706,0.0007884232580055583,-0.0019328677152337123,0.0011577514561480764
Carhart,1945-07-01,-0.00033592720908886127,0.0021798268676423544,0.00361487431837087,0.04,0.1345659700615111,0.000722974863674174,-0.001752957941890242,0.0010811035237125197
Carhart,1945-08-01,-0.00026698002368057247,0.0021738752151070255,0.0037657854999332313,0.08,0.18305321898317267,0.0007531570999866463,-0.001743167939654399,0.0012092078922932542
Carhart,1945-09-01,-0.00010865567880833397,0.0020828688822834354,0.00340051353379787,0.04,0.2113959492284743,0.000680102706759574,-0.001441656984057099,0.001224345626440431
Carhart,1945-10-01,-0.00021621422878902917,0.0018686343282043971,0.0031718420546101665,0.04,0.15442292901221344,0.0006343684109220333,-0.0014595763141962144,0.0010271478566181561
Carhart,1945-11-01,-0.0002720918149644757,0.002054769976025972,0.0034827805246874077,0.0,0.12723610250153788,0.0006965561049374815,-0.0016373417806419396,0.001093158150712988
Carhart,1945-12-01,-0.00020403676016835466,0.0021340016764225577,0.003695565977243375,0.08,0.16176282281698462,0.0007391131954486749,-0.0016526986232477574,0.0012446251029110482
Carhart,1946-01-01,2.877718021838647e-05,0.001912235547235355,0.0031185426114611115,0.0,0.19394454127485747,0.0006237085222922223,-0.0011936915234743693,0.0012512458839111422
Carhart,1946-02-01,-5.4911261474538076e-05,0.0019148540444593127,0.0029991537636888006,0.0,0.16591127671366734,0.0005998307527377601,-0.001230579536840548,0.0011207570138914717
